bloque;period;camera;charact_SBOF;ID original;lat;lon;fecha act;hora act;fecha desact;hora desact;fecha desact real;hora desact real;dias de trabajo;ele;nombre del lugar;habitat;NDVI.bloque;Ndvi.celda;si se quema;quema.celda;Si se caza aqui;caza.celda;caza.celda2;caza.bloque;conuco.dist.m;ln.conuco.dis;buf.fragmen;ln.buf.frag;dist.comun
B01;P3;IS15;S0;Is15-n;5,4862;-61,2410;2016-01-26;12:13:00;2016-04-08;15:29;2016-04-08;15:29:00;73;1206,505127;Kawi;sabana;0,43742;0,438;si;1;si;1;1;7;3356,8;8,1;23;3,135494216;0,027327473
B02;P1;IS02;Sf;Is02;5,579054011;-61,10793097;2015-10-09;9:30:00;2015-12-08;11:50;2015-12-08;11:50:00;60;861;qda Warpa;bosque;0,455846;0,469;si;1;si;1;1;3;112,4;4,7;25;3,218875825;0,040618995
B02;P2;IS02;Sf;Is02;5,579054011;-61,10793097;2015-12-08;11:50:00;2016-02-07;09:55;2016-02-07;9:55:00;61;861;qda Warpa;bosque;0,455846;0,469;si;1;si;1;1;3;112,4;4,7;25;3,218875825;0,040618995
B02;P3;IS02;s0;Is02-n;5,5942;-61,1007;2016-02-07;11:57:00;2016-03-31;10:10;2016-02-12;12:00:15;5;883,271301;Konok;sabana;0,455846;0,526;si;1;si;1;1;3;1753,1;7,5;18;2,890371758;0,047479636
B02;P1;IS04;sF;Is04;5,575024998;-61,12042503;2015-10-09;12:00:00;2015-12-08;10:12;2015-11-21;20:17:25;43;896;qda Warpa;river bank;0,455846;0,470;si;1;no;0;0;3;1504,9;7,3;30;3,401197382;0,04904816
B02;P1;IS08;S0;Is08;5,555065004;-61,11711997;2015-10-09;14:00:00;2015-12-08;08:39;2015-12-08;8:39:00;60;914;camino a qda Warpa;arbustrales sabana;0,455846;0,388;si;1;no;0;0;3;2950,7;8,0;18;2,890371758;0,040804475
B02;P2;IS08;S0;Is08;5,555065004;-61,11711997;2015-12-08;8:39:00;2016-02-07;08:06;2016-02-07;8:06:00;61;914;camino a qda Warpa;arbustrales sabana;0,455846;0,388;si;1;no;0;0;3;2950,7;8,0;18;2,890371758;0,040804475
B02;P3;IS08;S0;Is08;5,555065004;-61,11711997;2016-02-07;8:07:00;2016-03-31;13:06;2016-03-31;13:06:00;53;914;camino a qda Warpa;arbustrales sabana;0,455846;0,388;si;1;no;0;0;3;2950,7;8,0;18;2,890371758;0,040804475
B02;P1;IS09;s0;Is09;5,563228978;-61,12846102;2015-10-09;13:00:00;2015-12-08;09:31;2015-11-13;11:21:41;35;904;qda Warpa;river bank;0,455846;0,462;si;1;no;0;0;3;2950,0;8,0;33;3,496507561;0,048449585
B02;P3;IS09;S0;Is09-2n;5,5899;-61,1067;2016-02-07;11:00:00;2016-03-31;09:41;2016-03-31;9:41:00;53;873,716675;Konok;sabana;0,455846;0,455;si;1;no;0;0;3;1096,5;7,0;16;2,772588722;0,047428643
B02;P2;IS09;sf;Is09-n;5,5752;-61,1045;2015-12-08;14:00:00;2016-02-07;09:33;2016-02-07;9:33:00;61;908,137573;Wuarpa;bosque ribereno;0,455846;0,492;si;1;no;0;0;3;650,7;6,5;52;3,951243719;0,035533947
B02;P1;LEE02;s0;Lee02;5,583414026;-61,11576;2015-10-09;9:58:00;2015-12-08;11:00;2015-12-08;11:00:00;60;886;qda Warpa;river bank;0,455846;0,475;si;1;no;0;0;3;955,9;6,9;29;3,36729583;0,049472019
B02;P2;LEE02;s0;Lee02-N;5,5653;-61,1035;2015-12-08;14:45:00;2016-02-07;08:51;2016-02-07;8:51:00;61;912,830933;Wuarpa;sabana y el borde del bosque;0,455846;0,563;si;1;no;0;0;3;1704,3;7,4;47;3,850147602;0,029605216
B02;P3;LEE02;s0;Lee02-N;5,5653;-61,1035;2016-02-07;8:52:00;2016-03-31;12:31;2016-03-31;12:31:00;53;912,830933;Wuarpa;sabana y el borde del bosque;0,455846;0,563;si;1;no;0;0;3;1704,3;7,4;47;3,850147602;0,029605216
B03;P1;IS05;B0;Is05;5,551850041;-61,05188303;2015-10-06;15:30:00;2015-12-06;16:20;2015-12-06;16:20:00;61;937;quebrada cuyaparu;bosque;0,681543;0,831;no;0;si;1;1;12;265,4;5,6;78;4,356708827;0,024518519
