nr,pdf available,TI,Authors,objective principal,other objective,general objective,general objective2,MultiObj,animal,kingdoms,mammals group,more then 1,technic,equipment,country,continent,Publication Year,Total Citations,Source Title
131,si,'NEW BORNEAN CARNIVORE' IS MOST LIKELY A LITTLE KNOWN FLYING SQUIRREL,"Meijaard, Erik; Kitchener, Andrew C.; Smeenk, Chris",new species,,conservation,,,squirrel,mammals,carnivore,,,ct,Indonesia,Asia,2006,6,MAMMAL REVIEW
132,si,"CRITICALLY ENDANGERED ARABIAN LEOPARDS PANTHERA PARDUS NIMR PERSIST IN THE JABAL SAMHAN NATURE RESERVE, OMAN",Spalton James Andrew; al Hikmani Hadi Musalam; Willis David; Said Ali Salim Bait,threaten species,,conservation,,,leopard Panthera pardus nimr ,mammals,carnivore,,,ct,Oman,Asia,2006,6,ORYX
133,si,"STATUS AND CONSERVATION OF THE SNOW LEOPARD PANTHERA UNCIA IN THE GOULI REGION, KUNLUN MOUNTAINS, CHINA",Xu Aichun; Jiang Zhigang; Li Chungwang; Guo Jixun; Da Shenglin; Cui Qinghu; Yu Shuangying; Wu Guosheng,rare species,,conservation,,,snow leopard,mammals,carnivore,,,ct,China,Asia,2008,5,ORYX
134,si,MONITORING AND DISTRIBUTION OF THE LYNX LYNX LYNX IN THE SWISS JURA MOUNTAINS,Capt Simon,distribution,monitoring,conservation,,MultiObj,lynx,mammals,carnivore,,,ct,Switzeland,Europe,2007,5,WILDLIFE BIOLOGY
135,si,"SOCIAL RELATIONSHIPS IN A BANK VOLE CLETHRIONOMYS GLAREOLUS (SCHREBER, 1780) POPULATION: VIDEO MONITORING UNDER FIELD CONDITIONS","Lopucki, Rafal",behavior,,behavior,,MultiObj,bank vole,mammals,carnivore,,,mini camera,Poland,Europe,2007,5,POLISH JOURNAL OF ECOLOGY
136,si,FROM THE FIELD: ARMORING THE CAMTRAKKER (R) CAMERA-TRAP IN A TROPICAL ASIAN FOREST,"Grassman, LI; Tewes, FE; Silvy, AJ",techinic,,methodology,,,elephant,mammals,,,,ct,India,Asia,2005,5,WILDLIFE SOCIETY BULLETIN
137,si,"DISTRIBUTION, HABITAT ASSOCIATION, AND ACTIVITY PLATTERNS OF MEDIUM AND LARGE SIZED MAMMALS OF SOHORA, MEXICO",Pina GPL; Gamez RAC; Gonzalez CAL,distribution,"habitat association, and activity platterns",,,MultiObj,mammals,mammals,,,,ct,Mexico,North America,2004,5,NATURAL AREAS JOURNAL
138,si,"NOTEWORTHY RECORDS OF MARGAY, LEOPARDUS WIEDII AND OCELOT, LEOPARDUS PARDALIS IN THE STATE OF GUANAJUATO, MEXICO",Iglesias Jesus; Sanchez-Cordero Victor; Magana-Cota Gloria; Bolanos Ricardo; Aranda Marcelo; Hernandez Raul; Javier Botello Francisco,presence,,presence,,,margay ocelot,mammals,carnivore,,,ct,Mexico,North America,2008,4,MAMMALIA
139,si,CARNIVORE USE OF AN AVOCADO ORCHARD IN SOUTHERN CALIFORNIA,"Borchert, Mark; Davis, Frank W.; Kreitler, Jason",diet,,diet,,,carnivore,mammals,carnivore,,,ct,USA,North America,2008,4,CALIFORNIA FISH AND GAME
140,si,SEASONAL USE OF A WATERHOLE BY NUBIAN IBEX CAPRA NUBIANA (ARTIODACTYLA : BOVIDAE),"Wakefield, Simon; Attum, Omar; Robinson, Earnest Robert; Sandoka, Mohammed Abdulkader",use of water hole,,behavior,,,nubian ibex,mammals,ungulate,,,ct,Saudi Arabia,Asia,2008,4,MAMMALIA
141,si,FIRST RECORDS IN TANZANIA OF THE VULNERABLE JACKSON'S MONGOOSE BDEOGALE JACKSONI (HERPESTIDAE),De Luca Daniela W.; Rovero Francesco,presence,,presence,,,mongoose,mammals,,,,ct,Tanzania,Africa,2006,4,ORYX
143,si,EVALUATION OF PREDATOR ATTENDANCE AT PITFALL TRAPS IN TEXAS,Ferguson Adam W.; Weckerly Floyd W.; Baccus John T.; Forstner Michael R. J.,presence,,presence,,,mammals,mammals,,,,"ct pitfall, transect",USA,North America,2008,3,SOUTHWESTERN NATURALIST
144,si,HOW RARE IS THE RARE ANDEAN CAT?,Lucherini Mauro; Vidal Estela Luengos; Merino Maria J.,presence,,presence,,,andean cat,mammals,carnivore,,,ct DNA,Argentina,South America,2008,3,MAMMALIA
145,si,MAMMAL SURVEY AT A RANCH OF THE BRAZILIAN CERRADO,Trolle Mogens; Bissaro Marcos Cesar; Prado Helbert Medeiros,inventory,,presence,,,mammals,mammals,,,,ct,Brazil,South America,2007,3,BIODIVERSITY AND CONSERVATION
146,si,STOUFFER (R) WILDLIFE TIMERS AS AN INDEX OF VERTEBRATE ACTIVITY PERIODS IN A TROPICAL FOREST,"Grassman, LI; Haines, AM; Tewes, ME; Silvy, NJ",techinic,comment,methodology,,MultiObj,,multitaxa,,2,,,,,2005,3,WILDLIFE SOCIETY BULLETIN
148,si,A THEFT-RESISTANT ADJUSTABLE SECURITY BOX FOR DIGITAL CAMERAS,"Fiehler, Craig M.; Cypher, Brian L.; Bremner-Harrison, Samantha; Pounds, Dennis",techinic,comment,methodology,,MultiObj,,,,,,,Canada,,2007,2,JOURNAL OF WILDLIFE MANAGEMENT
149,si,"MTDNA ANALYSES ON HAIR SAMPLES CONFIRM COUGAR, PUMA CONCOLOR, PRESENCE IN SOUTHERN NEW BRUNSWICK, EASTERN CANADA",Bertrand A. -S.; Kenn S.; Gallant D.; Tremblay E.; Vasseur L.; Wissink R.,presence,,presence,,,puma,mammals,carnivore,,,ct hair trap DNA,saudi Arabia,North America,2006,2,CANADIAN FIELD-NATURALIST
150,si,PRELIMINARY INVESTIGATION INTO THE PRESENCE AND DISTRIBUTION OF SMALL CARNIVORES IN THE EMPTY QUARTER OF SAUDI ARABIA THROUGH THE USE OF A CAMERA TRAP,Wacher T; Attum O,presence,distribution,presence,,MultiObj,carnivores,mammals,carnivore,,,ct,Bolivia,Asia,2005,2,MAMMALIA
151,si,NEW RECORDS AND A STATUS ASSESSMENT OF A RARE DWARF BROCKET DEER FROM THE MONTANE FORESTS OF BOLIVIA,Rumiz D. I.; Pardo E.; Eulert C. F.; Arispe R.; Wallace R. B.; Gomez H.; Rios-Uzeda B.,presence,,presence,,,deer,mammals,herbivours,,,ct,USA,South America,2007,1,JOURNAL OF ZOOLOGY
152,si,COMPARISON OF TWO CAMERA TRAP SYSTEMS FOR DETECTION OF AMERICAN MARTEN ON A WINTER LANDSCAPE,"Clark, Howard O., Jr.; Orland, Mary C.",techinic,comparition,methodology,,MultiObj,martens,mammals,carnivore,,,ct,Brazil,North America,2008,0,CALIFORNIA FISH AND GAME
153,si,"INFLUENCE OF TEMPERATURE ON GREATER RHEA RHEA AMERICANA ACTIVITY IN RESTINGA HABITAT, SOUTHERN BRAZIL","Rodrigues Oliveira-Santos, Luiz Gustavo; Tambelini Tizianel, Fernando Augusto",activity patterns,,activity patterns,,,birds,birds,,,,ct,Costa Rica,South America,2008,0,REVISTA BRASILEIRA DE ORNITOLOGIA
154,si,TRACKING THE ELUSIVE JAGUAR,Carrillo Eduardo,presence,,presence,,,jaguar,mammals,carnivore,,,ct,Malaysia,Central America,2007,0,NATURAL HISTORY
155,si,"CAMERA TRAPPING THE INDOCHINESE TIGER, PANTHERA TIGRIS CORBETTI, IN A SECONDARY FOREST IN PENINSULAR MALAYSIA",Azian JM; Sharma DSK,abundance ,,abundance ,,,tiger,mammals,carnivore,,,ct,Brazil,Asia,2003,0,RAFFLES BULLETIN OF ZOOLOGY
156,si,SEED PREDATION OF ARAUCARIA ANGUSTIFOLIA (ARAUCARIACEAE) IN THE BRAZILIAN ARAUCARIA FOREST: INFLUENCE OF DEPOSITION SITE AND COMPARATIVE ROLE OF SMALL AND 'LARGE' MAMMALS,"Graziela; Vieira, Emerson M.",seed dispersal,,forest ecology,,,mammals,mammals,,,,ct,USA,South America,2008,,Plant Ecology
157,si,"ISLAND BIOGEOGRAPHY AND LANDSCAPE ECOLOGY OF MAMMALS INHABITING FRAGMENTED, TEMPERATE RAIN FORESTS",Lomolino MV; Perault DR,distribution,fragmentation,conservation,,MultiObj,mammals,mammals,,,,ct,India,North America,2001,59,GLOBAL ECOLOGY AND BIOGEOGRAPHY 
159,si,"SPECIES CONSERVATION - TIGERS IN DECLINE, INDIAN SURVEY FINDS","Bagla, Pallava",monitoring,,conservation,,,tiger,mammals,carnivore,,occupancy,ct transects,,Asia,2008,,Science
160,si,USING REMOTE PHOTOGRAPHY IN WILDLIFE ECOLOGY: A REVIEW,"Cutler, TL; Swann, DE",review,,methodology,,,,multitaxa,,2,,,Indonesia,,,179,WILDLIFE SOCIETY BULLETIN
161,si,"THE ASIAN TAPIR IN KERINCI SEBLAT NATIONAL PARK, SUMATRA: EVIDENCE COLLECTED THROUGH PHOTO-TRAPPING",Holden j A Yanuar DJ Martyr,presence,,presence,,MultiObj,tapir,mammals,ungulate,,,ct,,Asia,2003,51,
