nr,pdf available,TI,Authors,objective principal,other objective,general objective,general objective2,MultiObj,animal,kingdoms,mammals group,more then 1,technic,equipment,country,continent,Publication Year,Total Citations,Source Title
33,si,BEHAVIORAL RESPONSES OF BATS TO OPERATING WIND TURBINES,"Horn, Jason W.; Arnett, Edward B.; Kunz, Thomas H.",behavior,,behavior,,,bats,mammals,,,,termal infrared cameras,USA,North America,2008,52,JOURNAL OF WILDLIFE MANAGEMENT
34,si,JAGUAR (PANTHERA ONCA) FEEDING ECOLOGY: DISTRIBUTION OF PREDATOR AND PREY THROUGH TIME AND SPACE,Weckel M.; Giuliano W.; Silver S.,distribution,feeding ecology,distribution,feeding ecology,MultiObj,jaguar,mammals,carnivore,,,ct and scat,Belize,Central America,2006,50,JOURNAL OF ZOOLOGY
35,si,HOW SMALL IS TOO SMALL? CAMERA TRAP SURVEY AREAS AND DENSITY ESTIMATES FOR OCELOTS IN THE BOLIVIAN CHACO,Maffei Leonardo; Noss Andrew J.,density,,density,,,ocelots,mammals,carnivore,,c-r,ct and radiotracking,Bolivia,South America,2008,48,BIOTROPICA
36,si,"EMPTY FORESTS: LARGE CARNIVORE AND PREY ABUNDANCE IN NAMDAPHA NATIONAL PARK, NORTH-EAST INDIA",Datta Aparajita; Anand M. O.; Naniwadekar Rohit,abundance ,,abundance ,,,carnivora,mammals,carnivore,,,ct,India,Asia,2008,45,BIOLOGICAL CONSERVATION
37,si,IS CAMERA-TRAPPING AN EFFICIENT METHOD FOR SURVEYING MAMMALS IN NEOTROPICAL FORESTS? A CASE STUDY IN SOUTH-EASTERN BRAZIL,"Srbek-Araujo, AC; Chiarello, AG",methodology,richness,methodology,,MultiObj,mammals,mammals,,,,"ct live traped, transects, feaces, footprints",Brazil,South America,2005,44,JOURNAL OF TROPICAL ECOLOGY
38,si,WARINESS OF COYOTES TO CAMERA TRAPS RELATIVE TO SOCIAL STATUS AND TERRITORY BOUNDARIES,"Sequin, ES; Jaeger, MM; Brussard, PF; Barrett, RH",behavior,,behavior,,,coyote,mammals,carnivore,,,ct,USA,North America,2003,44,CANADIAN JOURNAL OF ZOOLOGY-REVUE CANADIENNE DE ZOOLOGIE
39,si,COMPARING METHODS FOR SAMPLING LARGE- AND MEDIUM-SIZED MAMMALS: CAMERA TRAPS AND TRACK PLOTS,"Lyra-Jorge, Maria Carolina; Ciocheti, Giordano; Pivello, Vania Regina; Meirelles, Sergio Tadeu",methodology,,methodology,,,mammals,mammals,,,Wilcoxon,ct track plots,Brazil,South America,2008,42,EUROPEAN JOURNAL OF WILDLIFE RESEARCH
40,si,JAGUAR PANTHERA ONCA POPULATION DECLINE IN THE UPPER PARANA ATLANTIC FOREST OF ARGENTINA AND BRAZIL,Paviolo Agustin; de Angelo Carlos Daniel; Di Blanco Yamil Edgardo; Di Bitetti Mario Santiago,density,,density,,,jaguar,mammals,carnivore,,,ct,Brazil,South America,2008,39,ORYX
41,si,DRAMATIC DECLINE OF WILD SOUTH CHINA TIGERS PANTHERA TIGRIS AMOYENSIS: FIELD SURVEY OF PRIORITY TIGER RESERVES,Tilson R; Defu H; Muntifering J; Nyhus PJ,rare species,,conservation,,,tiger,mammals,carnivore,,,ct,China,Asia,2004,39,ORYX
42,si,ESTIMATING BOBCAT ABUNDANCE USING AUTOMATICALLY TRIGGERED CAMERAS,Heilbrun Richard D.; Silvy Nova J.; Peterson Markus J.; Tewes Michael E.,density,,density,,,bobcats,mammals,carnivore,,,ct,USA,North America,2006,38,WILDLIFE SOCIETY BULLETIN
43,si,INDIVIDUAL LEGACY TREES INFLUENCE VERTEBRATE WILDLIFE DIVERSITY IN COMMERCIAL FORESTS,"Mazurek, MJ; Zielinski, WJ",legacy tree,,conservation,,,"mammals and birds, bats",multitaxa,,2,,ct and others,USA,North America,2004,38,FOREST ECOLOGY AND MANAGEMENT
44,si,"MAMMAL SURVEY IN THE SOUTHEASTERN PANTANAL, BRAZIL",Trolle M,richness,,presence,,,mammals,mammals,,,,ct,Brazil,South America,2003,37,BIODIVERSITY AND CONSERVATION
45,si,BALANITES WILSONIANA: REGENERATION WITH AND WITHOUT ELEPHANTS,"Babweteera, Fred; Savill, Peter; Brown, Nick",seed dispersal,,forest ecology,,,elephant,mammals,,,,ct,Uganda,Africa,2007,35,BIOLOGICAL CONSERVATION
46,si,"OCELOT (FELIS PARDALIS) POPULATION DENSITIES, ACTIVITY, AND RANGING BEHAVIOUR IN THE DRY FORESTS OF EASTERN BOLIVIA: DATA FROM CAMERA TRAPPING",Maffei L; Noss AJ; Cuellar E; Rumiz DI,density,"activity, and ranging behaviour",density ,activity pattern,MultiObj,ocelot,mammals,carnivore,,,ct,Bolivia,South America,2005,35,JOURNAL OF TROPICAL ECOLOGY
47,si,"DISPERSAL OF AGLAIA SPECTABILIS, A LARGE-SEEDED TREE SPECIES IN A MOIST EVERGREEN FOREST IN THAILAND","Kitamura, S; Suzuki, S; Yumoto, T; Poonswad, P; Chuailua, P; Plongmai, K; Noma, N; Maruhashi, T; Suckasam, C",seed dispersal,,forest ecology,,,mammals and birds,multitaxa,,2,,,Thailand,Asia,2004,34,JOURNAL OF TROPICAL ECOLOGY
48,si,"CARNIVORE MAMMALS IN A FRAGMENTED LANDSCAPE IN NORTHEAST OF SAO PAULO STATE, BRAZIL",Lyra-Jorge Maria Carolina; Ciocheti Giordano; Pivello Vania Regina,richness,fragmentation,conservation,,MultiObj,carnivore,mammals,carnivore,,,ct,Brazil,South America,2008,33,BIODIVERSITY AND CONSERVATION
49,si,GEOFFROY'S CATS AT THE NORTHERN LIMIT OF THEIR RANGE: ACTIVITY PATTERNS AND DENSITY ESTIMATES FROM CAMERA TRAPPING IN BOLIVIAN DRY FORESTS,"Cuellar, Erika; Maffei, Leonardo; Arispe, Rosario; Noss, Andrew",activity patterns,density estimates,activity patterns,density,MultiObj,Geoffroy's cats,mammals,carnivore,,,ct,Bolivia,South America,2006,33,STUDIES ON NEOTROPICAL FAUNA AND ENVIRONMENT
50,si,BAITING RED FOXES IN AN URBAN AREA: A CAMERA TRAP STUDY,"Hegglin, D; Bontadina, F; Gloor, S; Romer, J; Muller, U; Breitenmoser, U; Deplazes, P",vaccine control ,,conservation,,,fox,mammals,carnivore,,,ct,Switzeland,Europe,2004,33,JOURNAL OF WILDLIFE MANAGEMENT
51,si,A COMPARISON OF POPULATION SURVEY TECHNIQUES FOR SWIFT FOXES (VULPES VELOX) IN NEW MEXICO,Harrison RL; Barr DJ; Dragoo JW,abundance ,,abundance ,,,fox,mammals,carnivore,,,ct and scats,USA,North America,2002,32,AMERICAN MIDLAND NATURALIST
52,si,USING BAITS TO DELIVER PHARMACEUTICALS TO FERAL SWINE IN SOUTHERN TEXAS,"Campbell, Tyler A.; Lapidge, Steven J.; Long, David B.",vaccine control ,,conservation,,,feral swine,mammals,,,,ct,USA,North America,2006,31,WILDLIFE SOCIETY BULLETIN
53,si,THE RESPONSE OF NATIVE AUSTRALIAN RODENTS TO PREDATOR ODOURS VARIES SEASONALLY: A BY-PRODUCT OF LIFE HISTORY VARIATION?,"Hayes, R. A.; Nahrung, H. F.; Wilson, J. C.",predation on rodens,,predation,,,"rodens, mammals",mammals,,2,,ct,Australia,Australia,2006,31,ANIMAL BEHAVIOUR
54,"si, pero foto",SCAVENGING BEHAVIOR IN PUMA,"Bauer, JW; Logan, KA; Sweanor, LL; Boyce, WM",scavenging,,behavior,,,puma,mammals,carnivore,,,ct and telemetry,USA,North America,2005,31,SOUTHWESTERN NATURALIST
55,si,POTENTIAL EFFECTS OF SUPPLEMENTAL FEEDING OF DEER ON NEST PREDATION,"Cooper, SM; Ginnett, TF",nest predation,,nest predation,,,white tailed deer,mammals,ungulate,,,ct and others,USA,North America,2000,31,WILDLIFE SOCIETY BULLETIN
56,si,"EFFECTS OF EXOTIC MONGOOSE (HERPESTES JAVANICUS) ON THE NATIVE FAUNA OF AMAMI-OSHIMA ISLAND, SOUTHERN JAPAN, ESTIMATED BY DISTRIBUTION PATTERNS ALONG THE HISTORICAL GRADIENT OF MONGOOSE INVASION",Watari Yuya; Takatsuki Seiki; Miyashita Tadashi,abundance ,,abundance ,,,mongoose,mammals,,,,ct and others,Japan,Asia,2008,30,BIOLOGICAL INVASIONS
57,si,"HOW MANY TIGERS PANTHERA TIGRIS ARE THERE IN HUAI KHA KHAENG WILDLIFE SANCTUARY, THAILAND? AN ESTIMATE USING PHOTOGRAPHIC CAPTURE-RECAPTURE SAMPLING",Simcharoen Saksit; Pattanavibool Anak; Karanth K. Ullas; Nichols James D.; Kumar N. Samba,density,,density,,,tiger,mammals,carnivore,,c-r,ct,Thailand,Asia,2007,30,ORYX
58,si,THE DIVERSITY AND ACTIVITY PATTERNS OF WILD FELIDS IN A SECONDARY FOREST IN PENINSULAR MALAYSIA,Azlan JM; Sharma DSK,diversity,activity patterns,activity patterns,,MultiObj,wild felids,mammals,carnivore,,,ct,Malaysia,Asia,2006,30,ORYX
59,si,CONSERVING TIGERS PANTHERA TIGRIS IN SELECTIVELY LOGGED SUMATRAN FORESTS,Linkie Matthew; Haidir Wing Achmad; Nugroho Agung; Dinata Yoan,abundance ,,abundance ,,,tigers,mammals,carnivore,,,ct,Indonesia,Asia,2008,28,BIOLOGICAL CONSERVATION
60,si,"DESIGN, EVALUATE, REFINE: CAMERA TRAP STUDIES FOR ELUSIVE SPECIES","Kelly, M. J.",review,,conservation,,,felids,mammals,carnivore,,,,USA,North America,2008,28,ANIMAL CONSERVATION
61,si,CAMERA-TRAP STUDIES OF MANED WOLF DENSITY IN THE CERRADO AND THE PANTANAL OF BRAZIL,Trolle Mogens; Noss Andrew J.; Lima Edson De S.; Dalponte Julio C.,density,,density,,,maned wolf,mammals,carnivore,,c-r,ct and radiotelemetry,Brazil,South America,2007,28,BIODIVERSITY AND CONSERVATION
62,si,DIFFERENTIAL RESPONSES TO HUNTING IN TWO SYMPATRIC SPECIES OF BROCKET DEER (MAZAMA AMERICANA AND M-NANA),Di Bitetti Mario S.; Paviolo Agustin; Ferrari Carolina A.; De Angelo Carlos; Di Blanco Yamil,abundance ,hunting,conservation,,MultiObj,brocket deer,mammals,carnivore,,,ct,Argentina,South America,2008,27,BIOTROPICA
63,si,A NEW SPECIES OF GIANT SENGI OR ELEPHANT-SHREW (GENUS RHYNCHOCYON) HIGHLIGHTS THE EXCEPTIONAL BIODIVERSITY OF THE UDZUNGWA MOUNTAINS OF TANZANIA,Rovero F.; Rathbun G. B.; Perkin A.; Jones T.; Ribble D. O.; Leonard C.; Mwakisoma R. R.; Doggart N.,presence,new species,conservation,,MultiObj,elephant-shrew,mammals,,,,ct,Tanzania,Africa,2008,27,JOURNAL OF ZOOLOGY
64,si,IMPORTANCE OF NATURAL LICKS FOR THE MAMMALS IN BORNEAN INLAND TROPICAL RAIN FORESTS,Matsubayashi Hisashi; Lagan Peter; Majalap Noreen; Tangah Joseph; Sukor Jum Rafiah Abd.; Kitayama Kanehiro,presence,natural licks,behavior,,MultiObj,mammals,mammals,,,,ct,Indonesia,Asia,2007,27,ECOLOGICAL RESEARCH
65,si,"IMPACTS OF FRUIT PRODUCTION CYCLES ON MALAYAN SUN BEARS AND BEARDED PIGS IN LOWLAND TROPICAL FOREST OF SABAH, MALAYSIAN BORNEO","Wong, ST; Servheen, C; Ambu, L; Norhayati, A",impact of fruit production,,behaviour,,,bears and pig,mammals,carnivore,2,,ct,Malaysia,Asia,2005,27,JOURNAL OF TROPICAL ECOLOGY
66,si,DRY SEASON ACTIVITY PERIODS OF SOME AMAZONIAN MAMMALS,"Gomez, H; Wallace, RB; Ayala, G; Tejada, R",activity patterns,,activity patterns,,,mammals,mammals,,,,ct,Bolivia,South America,2005,27,STUDIES ON NEOTROPICAL FAUNA AND ENVIRONMENT
67,si,"THE USE OF CAMERA-TRAP DATA TO MODEL HABITAT USE BY ANTELOPE SPECIES IN THE UDZUNGWA MOUNTAIN FORESTS, TANZANIA","Bowkett, Andrew E.; Rovero, Francesco; Marshall, Andrew R.",habitat use,,habitat use,,,antelope,mammals,ungulate,,,ct,Tanzania,Africa,2008,26,AFRICAN JOURNAL OF ECOLOGY
68,si,"LOCAL AND CONTINENTAL CORRELATES OF THE ABUNDANCE OF A NEOTROPICAL CAT, THE OCELOT (LEOPARDUS PARDALIS)",Di Bitetti Mario S.; Paviolo Agustin; De Angelo Carlos D.; Di Blanco Yamil E.,abundance ,,abundance ,,,ocelote,mammals,carnivore,,,ct,Argentina,South America,2008,26,JOURNAL OF TROPICAL ECOLOGY
69,si,GROVES VERSUS ISOLATES: HOW SPATIAL AGGREGATION OF ASTROCARYUM MURUMURU PALMS AFFECTS SEED REMOVAL,"Beck, H; Terborgh, J",seed dispersal,,forest ecology,,,"mamiferos, insects",multitaxa,,2,,ct,Peru,South America,2002,26,JOURNAL OF TROPICAL ECOLOGY
70,si,BRAZILIAN TAPIR DENSITY IN THE PANTANAL: A COMPARISON OF SYSTEMATIC CAMERA-TRAPPING AND LINE-TRANSECT SURVEYS,Trolle Mogens; Noss Andrew J.; Cordeiro Jose Luis Passos; Oliveira Luiz Flamarion B.,density,,density,,,tapir,mammals,ungulate,,,ct and line transect,Brazil,South America,2008,25,BIOTROPICA
71,si,EFFICACY OF MANUFACTURED PIGOUT (R) BAITS FOR LOCALISED CONTROL OF FERAL PIGS IN THE SEMI-ARID QUEENSLAND RANGELANDS,"Cowled, Brendan D.; Gifford, Eddie; Smith, Michelle; Staples, Linton; Lapidge, Steven J.",removal of feral pigs ,,conservation,,,feral pigs,mammals,,,,ct and telemetry,Australia,Australia,2006,24,WILDLIFE RESEARCH
72,si,ASSESSING ESTIMATORS OF SNOW LEOPARD ABUNDANCE,McCarthy Kyle P.; Fuller Todd K.; Ming Ma; McCarthy Thomas M.; Waits Lisette; Jumabaev Kubanych,abundance ,,abundance ,,,snow leopard,mammals,carnivore,,cr,ct,China,Asia,2008,23,JOURNAL OF WILDLIFE MANAGEMENT
73,si,"ESTIMATING WILD BOAR (SUS SCROFA) ABUNDANCE AND DENSITY USING CAPTURE-RESIGHTS IN CANTON OF GENEVA, SWITZERLAND",Hebeisen C.; Fattebert J.; Baubet E.; Fischer C.,abundance ,density,abundance ,density,MultiObj,wild board,mammals,,,capture-resight,ct,Switzeland,Europe,2008,23,EUROPEAN JOURNAL OF WILDLIFE RESEARCH
74,si,"HUNTING PATTERNS IN TROPICAL FORESTS ADJOINING THE HKAKABORAZI NATIONAL PARK, NORTH MYANMAR",Rao MH; Myint T; Zaw T; Htun S,abundance ,hunting,conservation,,MultiObj,mammals,mammals,,,,ct and survey,Burma,Asia,2005,23,ORYX
75,si,"CRITICAL CONDITION OF THE JAGUAR PANTHERA ONCA POPULATION IN CORCOVADO NATIONAL PARK, COSTA RICA",Salom-Perez Roberto; Carrillo Eduardo; Saenz Joel C.; Mora Jose M.,density,,density,,,jaguar,mammals,carnivore,,cr,ct,Costa Rica,Central America,2007,22,ORYX
76,si,"HUMAN DISTURBANCE AFFECTS HABITAT USE AND BEHAVIOUR OF ASIATIC LEOPARD PANTHERA PARDUS IN KAENG KRACHAN NATIONAL PARK, THAILAND","Ngoprasert, Dusit; Lynam, Antony J.; Gale, George A.",habitat use,human disturbance,conservation,,MultiObj,leopard asiatic,mammals,carnivore,,,ct,Thailand,Asia,2007,21,ORYX
77,si,"DISPERSAL OF CANARIUM EUPHYLLUM (BURSERACEAE), A LARGE-SEEDED TREE SPECIES, IN A MOIST EVERGREEN FOREST IN THAILAND","Kitamura, S; Suzuki, S; Yumoto, T; Poonswad, P; Chuailua, P; Plongmai, K; Maruhashi, T; Noma, N; Suckasam, C",seed dispersal,,forest ecology,,,mammals and birds,multitaxa,,2,,ct,Thailand,Asia,2006,21,JOURNAL OF TROPICAL ECOLOGY
78,si,RESPONSE OF WILDLIFE TO PRESCRIBED FIRE IN SOUTHWEST FLORIDA PINE FLATWOODS,Main MB; Richardson LW,abundance ,fire,conservation,,MultiObj,mammals and birds,multitaxa,,2,,ct,USA,North America,2002,21,WILDLIFE SOCIETY BULLETIN
79,si,EVALUATING CAMERA TRAPPING AS A METHOD FOR ESTIMATING CHEETAH ABUNDANCE IN RANCHING AREAS,Marnewick Kelly; Funston Paul J.; Karanth K. Ullas,abundance ,,abundance ,,,cheetah,mammals,carnivore,,cr,ct,South Africa,Asia,2008,20,SOUTH AFRICAN JOURNAL OF WILDLIFE RESEARCH
80,si,CAMERA-TRAP STUDY OF OCELOT AND OTHER SECRETIVE MAMMALS IN THE NORTHERN PANTANAL,Trolle M; Kery M,abundance ,,abundance ,,,ocelot,mammals,carnivore,,cr,ct,Brazil,South America,2005,20,MAMMALIA
82,si,REMOTE CAMERA-TRAP METHODS AND ANALYSES REVEAL IMPACTS OF RANGELAND MANAGEMENT ON NAMIBIAN CARNIVORE COMMUNITIES,Kauffman Matthew J.; Sanjayan M.; Lowenstein Jacob; Nelson Adam; Jeo Richard M.; Crooks Kevin R.,abundance ,distribution,abundance ,distribution,MultiObj,carnivores,mammals,carnivore,,,ct,Namibia,Africa,2007,19,ORYX
83,si,THE IMPORTANCE OF PRIVATE LANDS FOR OCELOT LEOPARDUS PARDALIS CONSERVATION IN THE UNITED STATES,Haines AM; Janecka JE; Tewes ME; Grassman LI; Morton P,density,,density,,,ocelot,mammals,carnivore,,,ct,USA,North America,2006,19,ORYX
84,si,EVIDENCE OF RESIDENT JAGUARS (PANTHERA ONCA) IN THE SOUTHWESTERN UNITED STATES AND THE IMPLICATIONS FOR CONSERVATION,McCain Emil B.; Childs Jack L.,presence,,presence,,,jaguar,mammals,carnivore,,,ct,USA,North America,2008,18,JOURNAL OF MAMMALOGY
85,si,"NOTES ON ABBOTT'S DUIKER (CEPHALOPHUS SPADIX TRUE 1890) AND OTHER FOREST ANTELOPES OF MWANIHANA FOREST, UDZUNGWA MOUNTAINS, TANZANIA, AS REVEALED BY CAMERA-TRAPPING AND DIRECT OBSERVATIONS",Rovero F; Jones T; Sanderson J,presence,species,presence,,MultiObj,antylope,mammals,,,,ct,Tanzania,Africa,2005,18,TROPICAL ZOOLOGY
86,si,ACTIVITY PATTERN OF ATLANTIC FOREST SMALL ARBOREAL MAMMALS AS REVEALED BY CAMERA TRAPS,"Oliveira-Santos, Luiz Gustavo R.; Tortato, Marcos A.; Graipel, Mauricio E.",activity patterns,,activity patterns,,,mammals,mammals,,,,ct,Brazil,South America,2008,17,JOURNAL OF TROPICAL ECOLOGY
87,si,MONITORING THE SMALL-SCALE DISTRIBUTION OF SYMPATRIC EUROPEAN PINE MARTENS (MARTES MARTES) AND STONE MARTENS (MARTES FOINA): A MULTIEVIDENCE APPROACH USING FAECAL DNA ANALYSIS AND CAMERA-TRAPS,Rosellini Stefano; Osorio Enrique; Ruiz-Gonzalez Aritz; Isabel Ana Pineiroa; Barja Isabel,distribution,niche,distribution,niche,MultiObj,pine martens,mammals,,,,ct feaceal DNA,Spain,Europe,2008,17,WILDLIFE RESEARCH
88,si,DOMESTIC DOGS IN ATLANTIC FOREST PRESERVES OF SOUTH-EASTERN BRAZIL: A CAMERA-TRAPPING STUDY ON PATTERNS OF ENTRANCE AND SITE OCCUPANCY RATES,Srbek-Araujo A. C.; Chiarello A. G.,presence,occupancy,presence,occupancy,MultiObj,domestic dog,mammals,carnivore,,,ct,Brazil,South America,2008,16,BRAZILIAN JOURNAL OF BIOLOGY
89,si,ASSESSING THE CONSERVATION STATUS OF THE TIGER PANTHERA TIGRIS AT PRIORITY SITES IN PENINSULAR MALAYSIA,Lynam Antony J.; Laidlaw Ruth; Noordin Wan Shaharuddin Wan; Elagupillay Sivananthan; Bennett Elizabeth L.,density,managment,conservation,,,tiger,mammals,carnivore,,,ct,Malaysia,Asia,2007,16,ORYX
90,si,"PREDATION ON ARTIFICIAL NESTS AND CATERPILLAR MODELS ACROSS A DISTURBANCE GRADIENT IN SUBIC BAY, PHILIPPINES","Posa, Mary Rose C.; Sodhi, Navjot S.; Koh, Lian Pin",nest predation,,nest predation,,,birds,birds,,,,ct and live traps,Philippines,Asia,2007,16,JOURNAL OF TROPICAL ECOLOGY
91,si,"MAMMAL SURVEY IN THE RIO JAUAPERI REGION, RIO NEGRO BASIN,THE AMAZON, BRAZIL",Trolle M,inventory,,,,,mammals,mammals,,,,"ct obs, interviews",Brazil,South America,2003,16,MAMMALIA
92,si,A PICTURE IS WORTH A THOUSAND WORDS: THE APPLICATION OF CAMERA TRAPPING TO THE STUDY OF BIRDS,"O'Brien, Timothy G.; Kinnaird, Margaret F.",methodology,,methodology,,MultiObj,birds,birds,,,,ct,Indonesia,Asia,2008,15,BIRD CONSERVATION INTERNATIONAL
93,si,CENSUSING BOBCATS USING REMOTE CAMERAS,Larrucea Eveline S.; Serra Gianluca; Jaeger Michael N.; Barrett Reginald H.,density,,density,,,bobcats,mammals,carnivore,,cr,ct,USA,North America,2007,15,WESTERN NORTH AMERICAN NATURALIST
94,si,"MONITORING MAMMALS IN THE CAXIUANU NATIONAL FOREST, BRAZIL - FIRST RESULTS FROM THE TROPICAL ECOLOGY, ASSESSMENT AND MONITORING (TEAM) PROGRAM","de Souza Martins, Simone; Sanderson, James G.; de Sousa e Silva-Junior, Jose",monitoring,,conservation,,,mammals,mammals,,,,ct,Brazil,South America,2007,15,BIODIVERSITY AND CONSERVATION
95,si,A PRELIMINARY DENSITY ESTIMATE FOR ANDEAN BEAR USING CAMERA-TRAPPING METHODS,Rios-Uzeda Boris; Gomez Humberto; Wallace Robert B.,density,,density,,,bears andean,mammals,carnivore,,,ct,Bolivia,South America,2007,15,URSUS
96,si,THE USE OF POISON EGGS FOR THE CONTROL OF STOATS,"Dilks, P; Lawrence, B",removal of stoats,,conservation,,,stoats,mammals,,,,ct +radiotracking,New Zealand,Australia,2000,15,NEW ZEALAND JOURNAL OF ZOOLOGY
97,si,OPPORTUNISTIC USE OF CAMERA TRAPS TO ASSESS HABITAT-SPECIFIC MAMMAL AND BIRD DIVERSITY IN NORTHCENTRAL NAMIBIA,"Stein, Andrew B.; Fuller, Todd K.; Marker, Laurie L.",habitat use,,habitat use,,,mammals and birds,multitaxa,,2,,ct,Namibia,Africa,2008,14,BIODIVERSITY AND CONSERVATION
98,si,"COMPOSITION AND RELATIVE ABUNDANCE OF THE MEDIUM-LARGE SIZED MAMMALS OF TURVO STATE PARK, RIO GRANDE DO SUL, BRAZIL",Kasper Carlos B.; Mazim Fabio D.; Soares Jose B. G.; de Oliveira Tadeu G.; Fabian Marta E.,richness,abundance,abundance,,MultiObj,mammals,mammals,,,,ct,Brazil,South America,2007,14,REVISTA BRASILEIRA DE ZOOLOGIA
99,si,EFFECT OF DISTANCE AND DENSITY ON SEED/SEEDLING FATE OF TWO DIPTEROCARP SPECIES,"Takeuchi, Yayoi; Nakashizuka, Tohru",seed dispersal,,forest ecology,,,mammals,mammals,,,,ct,Malaysia,Asia,2007,13,FOREST ECOLOGY AND MANAGEMENT
100,si,A CAMERA TRAPPING INVENTORY FOR MAMMALS IN A MIXED USE PLANTED FOREST IN SARAWAK,Giman Belden; Stuebing Robert; Megum Nyegang; Mcshea William J.; Stewart Chad M.,inventory,,presence,,,mammals,mammals,,,,ct,Malaysia,Asia,2007,13,RAFFLES BULLETIN OF ZOOLOGY
101,si,DIFFERENTIAL HABITAT USE BY TWO SYMPATRIC BROCKET DEER SPECIES (MAZAMA AMERICANA AND M-GOUAZOUBIRA) IN A SEASONAL CHIQUITANO FOREST OF BOLIVIA,"Rivero, K; Rumiz, DI; Taber, AB",habitat use,niche,habitat use,,MultiObj,deer,mammals,herbivours,,,ct,Bolivia,South America,2005,13,MAMMALIA
102,si,"NEST PREDATION RISK ON GROUND AND SHRUB NESTS IN FOREST MARGIN AREAS OF SULAWESI, INDONESIA","Pangau-Adam, Margaretha Z.; Waltert, Matthias; Muehlenberg, Michael",nest predation,,nest predation,,,rodens,mammals,,,,ct,Indonesia,Asia,2006,12,BIODIVERSITY AND CONSERVATION
103,si,FROM THE FIELD: USE OF CAMERA TRAPS TO MEASURE PREDATION RISK IN A PUMA-MULE DEER SYSTEM,"Hernandez, L; Laundre, JW; Gurung, M",predation risk,,predation,,,puma and deer,mammals,,2,,ct,USA,North America,2005,12,WILDLIFE SOCIETY BULLETIN
104,si,STATUS OF AMERICAN MARTENS IN COASTAL FORESTS OF THE PACIFIC STATES,Zielinski WJ; Slauson KM; Carroll CR; Kent CJ; Kudrna DG,presence,,presence,,,martens,mammals,carnivore,,,ct,USA,North America,2001,12,JOURNAL OF MAMMALOGY
105,si,USING PREGNANCY RATES AND PERINATAL MORTALITY TO EVALUATE THE SUCCESS OF RECOVERY STRATEGIES FOR ENDANGERED ISLAND FOXES,"Clifford, D. L.; Woodroffe, R.; Garcelon, D. K.; Timm, S. F.; Mazet, J. A. K.",recovery strategy,,conservation,,,fox,mammals,carnivore,,,ct,USA,North America,2007,11,ANIMAL CONSERVATION
106,si,DETECTION RATES OF EASTERN SPOTTED SKUNKS (SPILOGALE PUTORIUS) IN MISSOURI AND ARKANSAS USING LIVE-CAPTURE AND NON-INVASIVE TECHNIQUES,Hackett H. Mundy; Lesmeister Damon B.; Desanty-Combes Jacqueline; Montague Warren G.; Millspaugh Joshua J.; Gompper Matthew E.,presence,,presence,,,skunks,mammals,carnivore,,,ct box traps live capture,USA,North America,2007,11,AMERICAN MIDLAND NATURALIST
107,si,SYSTEMATIC IMAGES FROM CAMERA-TRAPS : A PROPOSAL OF DATA CARD,"Botello, Francisco; Monroy, Gabriela; Illoldi-Rangel, Patricia; Trujillo-Bolio, Ivan; Sanchez-Cordero, Victor",review,techinc,methodology,,MultiObj,,,,,,,,,2007,11,REVISTA MEXICANA DE BIODIVERSIDAD
108,si,EFFECTIVENESS OF NON-INVASIVE TECHNIQUES FOR SURVEYING ACTIVITY AND HABITAT USE OF THE INDIAN FOX VULPES BENGALENSIS IN SOUTHERN INDIA,"Vanak, Abi Tamim; Gompper, Matthew. E.",activity patterns,habitat use,activity patterns,habitat use,MultiObj,fox,mammals,carnivore,,,ct,India,Asia,2007,11,WILDLIFE BIOLOGY
109,si,USING CAMERA-TRAPPING TO INVESTIGATE THE USE OF A TREE AS A SCENT-MARKING POST BY CHEETAHS IN THE THABAZIMBI DISTRICT,"Marnewick, K. A.; Bothma, J. du P.; Verdoorn, G. H.",scent-marking,,behavior,,,cheetah,mammals,carnivore,,,ct,RPA,Africa,2006,11,SOUTH AFRICAN JOURNAL OF WILDLIFE RESEARCH
110,si,"CAMERA TRAPPING AND CONSERVATION IN LAMBIR HILLS NATIONAL PARK, SARAWAK","Mohd. Azlan, J.; Lading, Engkamat",activity patterns,,activity patterns,,,mammals,mammals,,,,ct,Malaysia,Asia,2006,11,RAFFLES BULLETIN OF ZOOLOGY
