number,TI,authors,total citations,objective_principal,second_objective,third_objective,fourth_objective,extra_objective,multiobj,animal,kingdoms,carnivore,ungulate,primate,multispecies,technic,equipment,country,continent,source_title,publication_date,publication_year,volume,issue,total citations,doi
217,THREATENED PREDATOR ON THE EQUATOR: MULTI-POINT ABUNDANCE ESTIMATES OF THE TIGER PANTHERA TIGRIS IN CENTRAL SUMATRA,Sunarto; Kelly Marcella J.; Klenzendorf Sybille; Vaughan Michael R.; Zulfahmi; Hutajulu M. B.; Parakkasi Karmila,3,abundance,,,,,,tiger,mammals,carnivore,,,single,,ct,Sumatra,Asia,ORYX,APR 2013,2013,47,2,,
218,HABITAT ASSOCIATIONS OF FOUR UNGULATES IN MOUNTAIN FORESTS OF SOUTHWEST CHINA BASED ON CAMERA TRAPPING AND DUNG COUNTS DATA,Li Xueyou; Buzzard Paul; Jiang Xuelong,4,abundance,sympatric species,,,,,ungulates,mammals,,,,,,ct dung cunts,China,Asia,POPULATION ECOLOGY,JAN 2014,2014,56,1,,
219,BEHAVIOURAL RESPONSES OF UNGULATES TO INDIRECT CUES OF AN AMBUSH PREDATOR,Wikenros Camilla; Kuijper Dries P. J.; Behnke Robert; Schmidt Krzysztof,4,behaviour,,,,response for scat,MultiObj,ungulates,mammals,,,,,,ct,Poland,Europe,BEHAVIOUR,2015,2015,152,7-8,,
220,DIFFERENTIAL RESPONSES OF SCAVENGING ARTHROPODS AND VERTEBRATES TO FOREST LOSS MAINTAIN ECOSYSTEM FUNCTION IN A HETEROGENEOUS LANDSCAPE,Sugiura Shinji; Tanaka Ryusei; Taki Hisatomo; Kanzaki Natsumi,5,scavenging,,,,,,vertebrate invertebrate,mammals,,,,Multiple,,ct,Japan,Asia,BIOLOGICAL CONSERVATION,MAR 2013,2013,159,,,
221,WILD BOARS' SOCIAL STRUCTURE IN THE MEDITERRANEAN HABITAT,Maselli V.; Rippa D.; Russo G.; Ligrone R.; Soppelsa O.; D'Aniello B.; Raia P.; Fulgione D.,2,behaviour,,,,,,wild boar,mammals,,,,single,,ct,Europe,Europe,ITALIAN JOURNAL OF ZOOLOGY,OCT 2 2014,2014,81,4,,
222,BARE-NOSED WOMBATS (VOMBATUS URSINUS) USE DRAINAGE CULVERTS TO CROSS ROADS,Crook Natasha; Cairns Stuart C.; Vernes Karl,2,behaviour,,,,,,wombat,mammals,,,,,,ct,Australia,Australia,AUSTRALIAN MAMMALOGY,2013,2013,35,1,,
223,USING CAMERA - TRAP DATA TO MODEL HABITAT USE BY WOMBATS AND CATTLE IN AUSTRALIAN RIPARIAN ECOSYSTEMS,Borchard P.,1,habitat_use,,,,,,wombat,mammals,,,,,,ct,Australia,Australia,APPLIED ECOLOGY AND ENVIRONMENTAL RESEARCH,2013,2013,11,1,,
224,SPATIOTEMPORAL HIERARCHICAL MODELLING OF SPECIES RICHNESS AND OCCUPANCY USING CAMERA TRAP DATA,Tobler Mathias W.; Hartley Alfonso Zuniga; Carrillo-Percastegui Samia E.; Powell George V. N.,5,methodology,richness ,occupancy,,,MultiObj,,,,,,,,,,,JOURNAL OF APPLIED ECOLOGY,APR 2015,2015,52,2,,
225,ESTIMATING POPULATION DENSITY FROM PRESENCE-ABSENCE DATA USING A SPATIALLY EXPLICIT MODEL,Ramsey David S. L.; Caley Peter A.; Robley Alan,5,methodology,density,,,,MultiObj,,,,,,,,,,,JOURNAL OF WILDLIFE MANAGEMENT,APR 2015,2015,79,3,,
226,CAMERA TRAPS CAN BE HEARD AND SEEN BY ANIMALS,Meek Paul D.; Ballard Guy-Anthony; Fleming Peter J. S.; Schaefer Michael; Williams Warwick; Falzon Greg,4,review,,,,,,,,,,,,,,,,PLOS ONE,OCT 29 2014,2014,9,10,,
227,PRIMATES AND CAMERAS,Gerber Brian D.; Williams Perry J.; Bailey Larissa L.,4,review,,,,,,,,,,,,,,,,INTERNATIONAL JOURNAL OF PRIMATOLOGY,OCT 2014,2014,35,5,,
228,HOW LONG IS ENOUGH TO DETECT TERRESTRIAL ANIMALS? ESTIMATING THE MINIMUM TRAPPING EFFORT ON CAMERA TRAPS,Si Xingfeng; Kays Roland; Ding Ping,4,methodology,trapping duration,,,,MultiObj,,,,,,,,,,,PEERJ,MAY 8 2014,2014,2,,,
229,SOFTWARE FOR MINIMALISTIC DATA MANAGEMENT IN LARGE CAMERA TRAP STUDIES,Krishnappa Yathin S.; Turner Wendy C.,3,methodology,,,,,,,,,,,,,,,,ECOLOGICAL INFORMATICS,NOV 2014,2014,24,,,
230,MARK-RECAPTURE AND MARK-RESIGHT METHODS FOR ESTIMATING ABUNDANCE WITH REMOTE CAMERAS: A CARNIVORE CASE STUDY,Alonso Robert S.; McClintock Brett T.; Lyren Lisa M.; Boydston Erin E.; Crooks Kevin R.,2,methodology,,,,,,,,,,,,,,,,PLOS ONE,MAR 30 2015,2015,10,3,,
231,CAMERA TRAPPING: A CONTEMPORARY APPROACH TO MONITORING INVASIVE RODENTS IN HIGH CONSERVATION PRIORITY ECOSYSTEMS,Rendall Anthony R.; Sutherland Duncan R.; Cooke Raylene; White John,2,methodology,,,,,,,,,,,,,,,,PLOS ONE,MAR 5 2014,2014,9,3,,
232,COMPARISON OF CAMERA TRAPS AND KILL TRAPS FOR DETECTING MAMMALIAN PREDATORS: A FIELD TRIAL,Glen A. S.; Warburton B.; Cruz J.; Coleman M.,2,methodology,,,,,,,,,,,,,,,,NEW ZEALAND JOURNAL OF ZOOLOGY,2014,2014,41,3,,
233,OILS AIN'T OILS: CAN TRUFFLE-INFUSED FOOD ADDITIVES IMPROVE DETECTION OF RARE AND CRYPTIC MYCOPHAGOUS MAMMALS?,Claridge Andrew W.; Paull David J.; Cunningham Ross B.,1,methodology,bait,,,,MultiObj,,,,,,,,,,,AUSTRALIAN MAMMALOGY,2016,2016,38,1,,
234,IMPROVING ABUNDANCE ESTIMATION BY COMBINING CAPTURE-RECAPTURE AND OCCUPANCY DATA: EXAMPLE WITH A LARGE CARNIVORE,Blanc Laetitia; Marboutin Eric; Gatti Sylvain; Zimmermann Fridolin; Gimenez Olivier,1,methodology,,,,,,,,,,,,,,,,JOURNAL OF APPLIED ECOLOGY,DEC 2014,2014,51,6,,
235,EVALUATION OF THREE FIELD MONITORING-DENSITY ESTIMATION PROTOCOLS AND THEIR RELEVANCE TO KOMODO DRAGON CONSERVATION,Ariefiandy Achmad; Purwandana Deni; Seno Aganto; Chrismiawati Marliana; Jessop Tim S.; Ciofi Claudio,1,methodology,,,,,,,,,,,,,,,,BIODIVERSITY AND CONSERVATION,SEP 2014,2014,23,10,,
236,IS IT POSSIBLE TO INDIVIDUALLY IDENTIFY RED FOXES FROM PHOTOGRAPHS?,Guethlin Denise; Storch Ilse; Kuechenhoff Helmut,1,commentary,,,,,,,,,,,,,,,,WILDLIFE SOCIETY BULLETIN,MAR 2014,2014,38,1,,
237,LOCAL AND CONTINENTAL DETERMINANTS OF GIANT ANTEATER (MYRMECOPHAGA TRIDACTYLA) ABUNDANCE: BIOME HUMAN AND JAGUAR ROLES IN POPULATION REGULATION,Andrea Quiroga Veronica; Noss Andrew Jay; Ivan Boaglio Gabriel; Santiago Di Bitetti Mario,0,abundance,human conflict,,,,,anteater,mammals,,,,,,ct,Argentina,South and Central America,MAMMALIAN BIOLOGY,MAY 2016,2016,81,3,,
238,HYBRIDIZATION FOLLOWING POPULATION COLLAPSE IN A CRITICALLY ENDANGERED ANTELOPE,Pinto Pedro Vaz; Beja Pedro; Ferrand Nuno; Godinho Raquel,0,presence,,,,hybridization,MultiObj,antelope,mammals,,,,,,ct DNA,Africa,Africa,SCIENTIFIC REPORTS,JAN 6 2016,2016,6,,,
239,THE ROLE OF GREAT APES IN SEED DISPERSAL OF THE TROPICAL FOREST TREE SPECIES DACRYODES NORMANDII (BURSERACEAE) IN GABON,Haurez Barbara; Dainou Kasso; Tagg Nikki; Petre Charles-Albert; Doucet Jean-Louis,0,seed_dispersal,,,,,,apes,mammals,,,primate,Single,,ct,Gabon,Africa,JOURNAL OF TROPICAL ECOLOGY,SEP 2015,2015,31,,5,
240,DENSITY AND NICHE SEGREGATION OF TWO ARMADILLO SPECIES (XENARTHRA: DASYPODIDAE) IN THE VALE NATURAL RESERVE BRAZIL,Ferreguetti Atilla Colombo; Tomas Walfrido M.; Bergallo Helena G.,0,density,niche,,,,MultiObj,armadillo,mammals,,,,,,ct,Brazil,South and Central America,MAMMALIAN BIOLOGY,MAR 2016,2016,81,2,,
241,SPATIAL ORGANISATION OF EUROPEAN BADGER (MELES MELES) IN NORTHERN ITALY AS ASSESSED BY CAMERA-TRAPPING,Balestrieri Alessandro; Cardarelli Elisa; Pandini Michela; Remonti Luigi; Saino Nicola; Prigioni Claudio,0,survey,,,,,,badger,mammals,carnivore,,,single,,ct,Italy,Europe,EUROPEAN JOURNAL OF WILDLIFE RESEARCH,APR 2016,2016,62,2,,
242,A COMPARISON OF SIGN SEARCHES LIVE-TRAPPING AND CAMERA-TRAPPING FOR DETECTION OF AMERICAN BADGERS (TAXIDEA TAXUS) IN THE CHIHUAHUAN DESERT,Harrison Robert L.,0,methodology,,,,,,badger,mammals,carnivore,,,,,ct,USA,North America,WESTERN NORTH AMERICAN NATURALIST,OCT 2015,2015,75,4,,
243,PHOTOGRAPHY AS A LOW-IMPACT METHOD TO SURVEY BATS,Rydell Jens; Russo Danilo,1,methodology,,,,,,bats,mammals,,,,,,,,,MAMMALIAN BIOLOGY,MAY 2015,2015,80,3,,
244,EVALUATION OF CAMERA-TRAP DESIGNS FOR PHOTOGRAPHING CHEST MARKS OF THE FREE-RANGING ASIATIC BLACK BEAR URSUS THIBETANUS,Higashide Daishi; Miura Shingo; Miguchi Hideo,0,methodology,design,,,,MultiObj,bear,mammals,carnivore,,,,,ct,Asia,Asia,MAMMAL STUDY,MAR 2013,2013,38,1,,
245,SPATIOTEMPORAL FACTORS AFFECTING DETECTION OF BLACK BEARS DURING NONINVASIVE CAPTURE-RECAPTURE SURVEYS,Wilton Clay M.; Beringer Jeff; Puckett Emily E.; Eggert Lori S.; Belant Jerrold L.,0,density,,,,,,bear,mammals,carnivore,,,,cr,ct,Canada,North America,JOURNAL OF MAMMALOGY,FEB 2016,2016,97,1,,
246,PATTERNS IN THE USE OF RUB TREES BY THE EURASIAN BROWN BEAR,Tattoni Clara; Bragalanti Natalia; Groff Claudio; Rovero Francesco,0,behaviour,,,,,,bear,mammals,carnivore,,,,,ct,Italy,Europe,HYSTRIX-ITALIAN JOURNAL OF MAMMALOGY,2015,2015,26,2,,
247,PHOTOS PROVIDE INFORMATION ON AGE BUT NOT KINSHIP OF ANDEAN BEAR,Van Horn Russell C.; Zug Becky; Appleton Robyn D.; Velez-Liendo Ximena; Paisley Susanna; LaCombe Corrin,0,age_ratio ,,,,,,bear,mammals,carnivore,,,,,ct,South America,South and Central America,PEERJ,JUL 16 2015,2015,3,,,
248,BEAVER (CASTOR FIBER) ACTIVITY PATTERNS IN A PREDATOR-FREE LANDSCAPE. WHAT IS KEEPING THEM IN THE DARK?,Swinnen Kristijn R. R.; Hughes Nelika K.; Leirs Herwig,1,activity_pattern,predator- free landscape,,,,MultiObj,beaver,mammals,,,,,,ct,Belgium,Europe,MAMMALIAN BIOLOGY,DEC 2015,2015,80,6,,
249,HABITAT USE AND CIRCADIAN PATTERN OF SOLITARY TINAMOU TINAMUS SOLITARIUS IN A SOUTHERN BRAZILIAN ATLANTIC RAINFOREST,Kuhnen Vanessa V.; De Lima R. E. M.; Santos J. F.; Machado Filho L. C. P.,0,habitat_use,,,,,,bird,bird,,,,,,ct,Brazil,South and Central America,BIRD CONSERVATION INTERNATIONAL,MAR 2013,2013,23,1,,
250,NOTEWORTHY RECORDS EXPANDING THE KNOWN DISTRIBUTION OF TWO CRACID SPECIES (AVES: GALLIFORMES) IN THE YUCATAN PENINSULA MEXICO,Hernandez-Perez Edwin; Angel Martinez-Morales Miguel; Tobon-Sampedro Ariadna; Pinilla-Buitrago Gonzalo; Sanvicente Lopez Mauro; Reyna-Hurtado Rafael,0,presence,,,,,,bird,bird,,,,,,ct,Mexico,North America,ORNITOLOGIA NEOTROPICAL,2014,2014,25,3,,
251,RECENT SIGHTINGS OF GOLDEN EAGLE (AQUILA CHRYSAETOS) IN THE SIERRA EL MECHUDO BAJA CALIFORNIA SUR MEXICO,Guerrero-Cardenas Israel; Galina-Tessaro Patricia; Alvarez-Cardenas Sergio; Mesa-Zavala Erika,0,presence,,,,,,bird,bird,,,,,,ct,Mexico,North America,REVISTA MEXICANA DE BIODIVERSIDAD,MAR 2013,2013,84,1,,
252,DO WILD RED-LEGGED PARTRIDGES (ALECTORIS RUFA) USE FEEDERS? AN INVESTIGATION OF THEIR FEEDING PATTERNS USING CAMERA TRAPPING,Armenteros J. A.; Sanchez-Garcia C.; Prieto R.; Lomillos J. M.; Perez J. A.; Alonso M. E.; Gaudioso V. R.,0,feeding_ecology,,,,,,bird,bird,,,,,,ct,Spain,Europe,AVIAN BIOLOGY RESEARCH,2015,2015,8,1,,
253,PUDDLE USE BY NEW CALEDONIAN RAINFOREST BIRDS,Okahisa Yuji; Nakahara Toru; Sato Nozomu J.; Theuerkauf Joern; Ueda Keisuke,0,behaviour,,,,,,birds,bird,,,,,,ct,New Caledonian,Australia,ORNITHOLOGICAL SCIENCE,JAN 2015,2015,14,1,,
254,ECOLOGY OF A VULNERABLE SHOREBIRD ACROSS A GRADIENT OF HABITAT ALTERATION: BRISTLE-THIGHED CURLEWS (NUMENIUS TAHITIENSIS) (AYES: CHARADRIIFORMES) ON PALMYRA ATOLL,Guerra Ana Sofia; Micheli Fiorenza; Wood Chelsea L.,0,survey,,,,,,birds,bird,,,,multiple,,ct,USA,North America,PACIFIC SCIENCE,APR 2016,2016,70,2,,
255,HABITAT SELECTION NEST SURVIVAL AND NEST PREDATORS OF RUSTY BLACKBIRDS IN NORTHERN NEW ENGLAND USA,Luepold Shannon H. Buckley; Hodgman Thomas P.; McNulty Stacy A.; Cohen Jonathan; Foss Carol R.,0,nest_predation,,,,,,birds mammals,,,,,Multiple,,ct,USA,North America,CONDOR,NOV 2015,2015,117,4,,
256,FERAL CATS AND THE FITOATY: FIRST POPULATION ASSESSMENT OF THE BLACK FOREST CAT IN MADAGASCAR'S RAINFORESTS,Farris Zach J.; Boone Hailey M.; Karpanty Sarah; Murphy Asia; Ratelolahy Felix; Andrianjakarivelo Vonjy; Kelly Marcella J.,0,survey,,,,,,black forest cat,mammals,carnivore,,,single,,ct,Madagascar,Africa,JOURNAL OF MAMMALOGY,APR 2016,2016,97,2,,
257,BOBCATS (LYNX RUFUS) AS A MODEL ORGANISM TO INVESTIGATE THE EFFECTS OF ROADS ON WIDE-RANGING CARNIVORES,Litvaitis John A.; Reed Gregory C.; Carroll Rory P.; Litvaitis Marian K.; Tash Jeffrey; Mahard Tyler; Broman Derek J. A.; Callahan Catherine; Ellingwood Mark,1,distribution,,,,effect of road,MultiObj,bobcats,mammals,carnivore,,,single,,ct gps collars,USA,North America,ENVIRONMENTAL MANAGEMENT,JUN 2015,2015,55,6,,
258,RECORDS OF THE BUSH DOG (SPEOTHOS VENATICUS) IN CENTRAL AMAZONIA BRAZIL,da Rocha Daniel Gomes; Ramalho Emiliano Esterci; Alvarenga Guilherme Costa; Grabin Diogo Maia; Magnusson William Ernest,0,presence,,,,,,bush dog,mammals,carnivore,,,,,ct,Brazil,South and Central America,JOURNAL OF MAMMALOGY,DEC 2015,2015,96,6,,
259,REGIONALLY EXTINCT SPECIES REDISCOVERED: THE BUSH DOG SPEOTHOS VENATICUS IN MINAS GERAIS SOUTH-EASTERN BRAZIL,Ferreira Guilhereme Braga; Rabelo Oliveira Marcelo Juliano; De Paula Rogerio Cunha; Guimaraes Rodrigues Flavio Henrique; Cunha Carmo Erica Daniele,0,presence,,,,,,bush dog,mammals,carnivore,,,,,ct,Brazil,South and Central America,ORYX,JAN 2015,2015,49,1,,
260,CAMERA TRAPS CAPTURE IMAGES OF PREDATORS OF CAIMAN CROCODILUS YACARE EGGS (REPTILIA: CROCODYLIA) IN BRAZIL'S PANTANAL WETLANDS,Campos Z.; Mourao G.,1,predation,,,,,,caiman,reptile,,,,,,ct,Brazil,South and Central America,JOURNAL OF NATURAL HISTORY,APR 26 2015,2015,49,15-16,,
261,ACTIVITY PATTERNS OF WILD BACTRIAN CAMELS (CAMELUS BACTRIANUS) IN THE NORTHERN PIEDMONT OF THE ALTUN MOUNTAINS CHINA,Xue Yadong; Li Diqiang; Xiao Wenfa; Liu Fang; Zhang Yuguang; Wang Xiulei; Jia Heng,0,activity_pattern,,,,,,camels,mammals,,,primate,,,ct,Chile,South and Central America,ANIMAL BIOLOGY,2015,2015,65,3-4,,
262,ADAPTABILITY IN STONE TOOL USE BY WILD CAPUCHIN MONKEYS (SAPAJUS LIBIDINOSUS),Caldas De Moraes Barbara Lins; Souto Antonio Da Silva; Schiel Nicola,4,behaviour,behaviour,,,,MultiObj,capuchin,mammals,,,primate,,,ct,Brazil,South and Central America,AMERICAN JOURNAL OF PRIMATOLOGY,OCT 2014,2014,76,10,,
263,INFLUENCE OF IN-SITU OIL SANDS DEVELOPMENT ON CARIBOU (RANGIFER TARANDUS) MOVEMENT,Muhly Tyler; Serrouya Robert; Neilson Eric; Li Haitao; Boutin Stan,0,dispersal,,,,human disturbance,MultiObj,caribouu,mammals,,,,,,ct,Canada,North America,PLOS ONE,SEP 8 2015,2015,10,9,,
264,SPECIES-SPECIFIC RESPONSES OF CARNIVORES TO HUMAN-INDUCED LANDSCAPE CHANGES IN CENTRAL ARGENTINA,Caruso Nicolas; Lucherini Mauro; Fortin Daniel; Casanave Emma B.,0,habitat_use,,,,human disturbance,MultiObj,carnivore,mammals,carnivore,,,,,ct,Argentina,South and Central America,PLOS ONE,MAR 7 2016,2016,11,3,,
265,PHANTOMS OF THE FOREST: LEGACY RISK EFFECTS OF A REGIONALLY EXTINCT LARGE CARNIVORE,Sahlen Ellinor; Noell Sonja; DePerno Christopher S.; Kindberg Jonas; Spong Goran; Cromsigt Joris P. G. M.,0,conservation,,,,,,carnivore,mammals,,,,,,ct,Europe,Europe,ECOLOGY AND EVOLUTION,FEB 2016,2016,6,3,,
266,INFLUENCE OF EXOTIC FOREST PLANTATIONS ON OCCUPANCY AND CO-OCCURRENCE PATTERNS IN A MEDITERRANEAN CARNIVORE GUILD,Cruz Joana; Sarmento Pedro; White Piran C. L.,0,occupancy,interaction,,,,MultiObj,carnivore,mammals,,,,,,ct,Europe,Europe,JOURNAL OF MAMMALOGY,AUG 2015,2015,96,4,,
267,CHANGES IN MEDITERRANEAN MESOCARNIVORE COMMUNITIES ALONG URBAN AND EX-URBAN GRADIENTS,Recio Mariano R.; Arija Carmen M.; Cabezas-Diaz Sara; Virgos Emilio,0,diversity,,,,urban zone,MultiObj,carnivore,mammals,,,,,,ct,Spain,Europe,Current Zoology,OCT 2015,2015,61,5,,
268,CARNIVORE AND HERBIVORE DENSITIES IN THE IMMEDIATE AFTERMATH OF ETHNO-POLITICAL CONFLICT: THE CASE OF MANAS NATIONAL PARK INDIA,Goswami Rajkamal; Ganesh T.,0,density,,,,human conflict,MultiObj,carnivore herbivoure,,,Ungulates,,Multiple,,ct,India,Asia,TROPICAL CONSERVATION SCIENCE,2014,2014,7,3,,
269,ASSESSING SPECIES TRAITS AND LANDSCAPE RELATIONSHIPS OF THE MAMMALIAN CARNIVORE COMMUNITY IN A NEOTROPICAL BIOLOGICAL CORRIDOR,Vargas Lain E. Pardo; Cove Michael V.; Manuel Spinola R.; Camilo de la Cruz Juan; Saenz Joel C.,0,interaction,,,,species traits ,MultiObj,carnivore mammals,mammals,carnivore,,,,,ct,Costa Rica,South and Central America,BIODIVERSITY AND CONSERVATION,APR 2016,2016,25,4,,
270,MESOCARNIVORES RESPOND TO FINE-GRAIN HABITAT STRUCTURE IN A MOSAIC LANDSCAPE COMPRISED BY COMMERCIAL FOREST PLANTATIONS IN SOUTHERN CHILE,Moreira-Arce Dario; Vergara Pablo M.; Boutin Stan; Carrasco Gonzalo; Briones Raul; Soto Gerardo E.; Jimenez Jaime E.,0,presence,,,,fine mosaic landscape,MultiObj,carnivores,mammals,carnivore,,,,,ct,Chile,South and Central America,FOREST ECOLOGY AND MANAGEMENT,JUN 1 2016,2016,369,,,
271,CARNIVORE DIVERSITY AT A MONTANE RAINFOREST SITE IN ECUADOR'S GRAN SUMACO BIOSPHERE RESERVE,Hodge Anne-Marie C.; Arbogast Brian S.,0,diversity,,,,,,carnivores,mammals,carnivore,,,,,ct,Ecuador,South and Central America,ORYX,JUL 2016,2016,50,3,,
272,EFFECT OF WILDLIFE REFUGES ON SMALL CARNIVORES IN A HUNTING AREA IN MEDITERRANEAN HABITAT,Fernandez-Lopez Javier; Fandos Guillermo; Santiago Cano Luis; Jose Garcia Francisco; Luis Telleria Jose,0,conservation,,,,hunting,MultiObj,carnivores,mammals,carnivore,,,,,ct,Europe,Europe,HYSTRIX-ITALIAN JOURNAL OF MAMMALOGY,2014,2014,25,1,,
273,ESTIMATING SEASONAL ABUNDANCE AND HABITAT USE OF SMALL CARNIVORES IN THE WESTERN GHATS USING AN OCCUPANCY APPROACH,Kalle Riddhika; Ramesh Tharmalingam; Qureshi Qamar; Sankar Kalyanasundaram,1,occupancy,,,,,,carnivores,mammals,carnivore,,,,,ct,India,Asia,JOURNAL OF TROPICAL ECOLOGY,SEP 2014,2014,30,,5,
274,POPULATION DENSITY AND ABUNDANCE OF SYMPATRIC LARGE CARNIVORES IN THE LOWLAND TROPICAL EVERGREEN FOREST OF INDIAN EASTERN HIMALAYAS,Selvan K. M.; Lyngdoh S.; Habib B.; Gopi G. V.,0,density,abundance,,,sympatric species,MultiObj,carnivores,mammals,carnivore,,,,,ct,India,Asia,MAMMALIAN BIOLOGY,2014,2014,79,4,,
275,PATTERNS OF SPATIAL CO-OCCURRENCE AMONG NATIVE AND EXOTIC CARNIVORES IN NORTH-EASTERN MADAGASCAR,Farris Z. J.; Kelly M. J.; Karpanty S.; Ratelolahy F.,1,presence,,,,,,carnivores,mammals,carnivore,,,,,ct,Madagascar,Africa,ANIMAL CONSERVATION,APR 2016,2016,19,2,,
276,SPATIOTEMPORAL RESOURCE PARTITIONING OF WATER SOURCES BY AFRICAN CARNIVORES ON NAMIBIAN COMMERCIAL FARMLANDS,Edwards S.; Gange A. C.; Wiesel I.,0,presence,water absence,,,,MultiObj,carnivores,mammals,carnivore,,,,,ct,Namibia,Africa,JOURNAL OF ZOOLOGY,SEP 2015,2015,297,1,,
277,SMALL CARNIVORES IN THE ANNAPURNA CONSERVATION AREA NEPAL,Appel Angelika; Werhahn Geraldine; Acharya Raju; Ghimirey Yadav; Adhikary Bidhan,0,inventory,,,,,,carnivores,mammals,carnivore,,,,,ct,Nepal,Asia,VERTEBRATE ZOOLOGY,APR 2013,2013,63,1,,
278,SPATIAL CHARACTERISTICS OF RESIDENTIAL DEVELOPMENT SHIFT LARGE CARNIVORE PREY HABITS,Smith Justine A.; Wang Yiwei; Wilmers Christopher C.,0,land_use_change,,,,,,carnivores,mammals,carnivore,,,,,ct,USA,North America,JOURNAL OF WILDLIFE MANAGEMENT,AUG 2016,2016,80,6,,
279,SPATIAL AND TEMPORAL ADJUSTMENTS ALLOWING THE COEXISTENCE AMONG CARNIVORES IN LIGURIA (N-W ITALY),Torretta E.; Serafini M.; Puopolo F.; Schenone L.,0,presence,seasonal ans spattial change,,,,MultiObj,carnivores,mammals,carnivore,,,,,ct,Italy,Europe,ACTA ETHOLOGICA,JUN 2016,2016,19,2,,
280,FEASIBILITY OF USING SCENT-BAITED HAIR TRAPS TO MONITOR CARNIVORE POPULATIONS IN PENINSULAR MALAYSIA,Hedges Laurie; Morrant Damian S.; Campos-Arceiz Ahimsa; Clements Gopalasamy Reuben,0,behaviour,,,,,,carnivores,mammals,carnivore,,,,,ct,Malaysia,Asia,TROPICAL CONSERVATION SCIENCE,DEC 2015,2015,8,4,,
281,NEW RECORDS OF THE PAMPAS CAT LEOPARDUS COLOCOLO COLOCOLO (CARNIVORA: FELIDAE) IN THE ATACAMA DESERT ANTOFAGASTA REGION NORTE GRANDE OF CHILE,Rau Jaime R.; Zuleta Carlos; Gantz Alberto; Agustin Iriarte J.,0,presence,,,,,,felids,mammals,carnivore,,,single,,ct,Chile,South and Central America,GAYANA,2015,2015,79,2,,
282,FIRST PHOTOGRAPHIC EVIDENCE OF FLAT-HEADED CATS (PRIONAILURUS PLANICEPS) IN PASOH FOREST RESERVE PENINSULAR MALAYSIA,Wadey Jamie; Fletcher Christine; Campos-Arceiz Ahimsa,0,presence,,,,,,cat,mammals,carnivore,,,single,,ct,Malaysia,Asia,TROPICAL CONSERVATION SCIENCE,2014,2014,7,2,,
283,TRAPPING ELUSIVE CATS: USING INTENSIVE CAMERA TRAPPING TO ESTIMATE THE DENSITY OF A RARE AFRICAN FELID,Brassine Eleanor; Parker Daniel,1,density,,,,elusive species,MultiObj,felids,mammals,carnivore,,,,,ct,Bostwana,Africa,PLOS ONE,DEC 23 2015,2015,10,12,,
284,CATS ARE RARE WHERE COYOTES ROAM,Kays Roland; Costello Robert; Forrester Tavis; Baker Megan C.; Parsons Arielle W.; Kalies Elizabeth L.; Hess George; Millspaugh Joshua J.; McShea William,2,distribution,abundance,,,,MultiObj,cats coyotes,mammals,carnivore,,,Multiple,,ct,USA,North America,JOURNAL OF MAMMALOGY,SEP 29 2015,2015,96,5,,
285,STRONG SPATIAL SEGREGATION BETWEEN WILDCATS AND DOMESTIC CATS MAY EXPLAIN LOW HYBRIDIZATION RATES ON THE IBERIAN PENINSULA,Gil-Sanchez J. M.; Jaramillo J.; Barea-Azcon J. M.,1,distribution,,,,sympatric species,MultiObj,cats wildcats,mammals,carnivore,,,Single,,ct,Spain,Europe,ZOOLOGY,DEC 2015,2015,118,6,,
286,UNIMODAL ACTIVITY PATTERN IN FOREST-DWELLING CHAMOIS: TYPICAL BEHAVIOUR OR INTERSPECIFIC AVOIDANCE?,Sprem Nikica; Zanella Davor; Ugarkovic Damir; Prebanic Ivan; Gancevic Pavao; Corlatti Luca,1,activity_pattern,,,,,,chamois,mammals,carnivore,,,,,ct,Croatia,Europe,EUROPEAN JOURNAL OF WILDLIFE RESEARCH,OCT 2015,2015,61,5,,
287,SAHARAN CHEETAH ACINONYX JUBATUS HECKI A GHOSTLY DWELLER ON NIGER'S TERMIT MASSIF,Sillero-Zubiri Claudio; Rostro-Garcia Susana; Burruss Dylan; Matchano Alkabouss; Harouna Abdoulaye; Rabeil Thomas,1,distribution,,,,,,cheetah,mammals,carnivore,,,,,ct,Niger,Africa,ORYX,OCT 2015,2015,49,4,,
288,THE FIRST DESCRIPTION OF POPULATION DENSITY AND HABITAT USE OF THE MAINLAND CLOUDED LEOPARD NEOFELIS NEBULOSA WITHIN A LOGGED-PRIMARY FOREST IN SOUTH EAST ASIA,Mohamad Shariff Wan; Rayan D. Mark; Christopher Wong Chai Thiam; Hamirul Muhamad; Mohamed Azlan; Lau Ching Fong; Siwan Elangkumaran Sagtia,1,density,habitat use,,,logged forest,MultiObj,clouded leopard,mammals,carnivore,,,Single,secr,ct,Asia,Asia,POPULATION ECOLOGY,JUL 2015,2015,57,3,,
