number,TI,authors,total citations,objective_principal,second_objective,third_objective,fourth_objective,extra_objective,multiobj,animal,kingdoms,carnivore,ungulate,primate,multispecies,technic,equipment,country,continent,source_title,publication_date,publication_year,volume,issue,total citations,doi
18,DISTRIBUTION OF A COMMUNITY OF MAMMALS IN RELATION TO ROADS AND OTHER HUMAN DISTURBANCES IN GABON CENTRAL AFRICA,Vanthomme Hadrien; Kolowski Joseph; Korte Lisa; Alonso Alfonso,9,presence,abundance,,,human disturgance,MultiObj,mammals,mammals,,,,,,ct,Gabon,Africa,CONSERVATION BIOLOGY,APR 2013,2013,27,2,,
19,ARBOREAL CAMERA TRAPPING: TAKING A PROVEN METHOD TO NEW HEIGHTS,Gregory Tremaine; Rueda Farah Carrasco; Deichmann Jessica; Kolowski Joseph; Alonso Alfonso,9,methodology,camera trap on the trees,,,,MultiObj,mammals birds reptiles,,,,,Multiple,,,,,METHODS IN ECOLOGY AND EVOLUTION,MAY 2014,2014,5,5,,
20,COMING DOWN FROM THE TREES: IS TERRESTRIAL ACTIVITY IN BORNEAN ORANGUTANS NATURAL OR DISTURBANCE DRIVEN?,Ancrenaz Marc; Sollmann Rahel; Meijaard Erik; Hearn Andrew J.; Ross Joanna; Samejima Hiromitsu; Loken Brent; Cheyne Susan M.; Stark Danica J.; Gardner Penny C.; Goossens Benoit; Mohamed Azlan; Bohm Torsten; Matsuda Ikki; Nakabayasi Miyabi; Lee Shan Khee; Bernard Henry; Brodie Jedediah; Wich Serge; Fredriksson Gabriella; Hanya Goro; Harrison Mark E.; Kanamori Tomoko; Kretzschmar Petra; Macdonald David W.; Riger Peter; Spehar Stephanie; Ambu Laurentius N.; Wilting Andreas,6,behaviour,,,,,,orangutan,mammals,,,primate,,,ct,Borneo,Asia,SCIENTIFIC REPORTS,FEB 13 2014,2014,4,,,
21,OPTIMISING CAMERA TRAPS FOR MONITORING SMALL MAMMALS,Glen Alistair S.; Cockburn Stuart; Nichols Margaret; Ekanayake Jagath; Warburton Bruce,15,methodology,,,,,,small mammals,mammals,,,,,,,,,PLOS ONE,JUN 28 2013,2013,8,6,,
22,ASSESSING THE STATUS OF WILD FELIDS IN A HIGHLY-DISTURBED COMMERCIAL FOREST RESERVE IN BORNEO AND THE IMPLICATIONS FOR CAMERA TRAP SURVEY DESIGN,Wearn Oliver R.; Rowcliffe J. Marcus; Carbone Chris; Bernard Henry; Ewers Robert M.,11,abundance,distribution,,,disturbed forest,MultiObj,wild felids,mammals,carnivore,,,,,ct,Borneo,Asia,PLOS ONE,NOV 4 2013,2013,8,11,,
23,RECOMMENDED GUIDING PRINCIPLES FOR REPORTING ON CAMERA TRAPPING RESEARCH,Meek P. D.; Ballard G.; Claridge A.; Kays R.; Moseby K.; O'Brien T.; O'Connell A.; Sanderson J.; Swann D. E.; Tobler M.; Townsend S.,11,methodology,guiding principles,,,,MultiObj,,,,,,,,,,,BIODIVERSITY AND CONSERVATION,AUG 2014,2014,23,9,,
24,TRAP ARRAY CONFIGURATION INFLUENCES ESTIMATES AND PRECISION OF BLACK BEAR DENSITY AND ABUNDANCE,Wilton Clay M.; Puckett Emily E.; Beringer Jeff; Gardner Beth; Eggert Lori S.; Belant Jerrold L.,6,density,abundance,,,trap array configuration,MultiObj,bear,mammals,carnivore,,,,scr,ct,USA,North America,PLOS ONE,OCT 28 2014,2014,9,10,,
25,ESTIMATING THE ABUNDANCE OF RARE AND ELUSIVE CARNIVORES FROM PHOTOGRAPHIC-SAMPLING DATA WHEN THE POPULATION SIZE IS VERY SMALL,Gerber Brian D.; Ivan Jacob S.; Burnham Kenneth P.,6,methodology,abundace,,,elusive species,MultiObj,carnivores,mammals,carnivore,,,,cr,ct,,,POPULATION ECOLOGY,JUL 2014,2014,56,3,,
26,DIFFERENCES IN THE ACTIVITY PATTERN OF THE WILD BOAR SUS SCROFA RELATED TO HUMAN DISTURBANCE,Ohashi Haruka; Saito Masae; Horie Reiko; Tsunoda Hiroshi; Noba Hiromu; Ishii Haruka; Kuwabara Takashi; Hiroshige Yutaka; Koike Shinsuke; Hoshino Yoshinobu; Toda Hiroto; Kaji Koichi,11,activity_pattern,,,,human disturbance,MultiObj,wild boar,mammals,,,,,,ct,Japan,Asia,EUROPEAN JOURNAL OF WILDLIFE RESEARCH,APR 2013,2013,59,2,,
27,CATHEMERALITY IN WILD RING-TAILED LEMURS (LEMUR CATTA) IN THE SPINY FOREST OF TSIMANAMPETSOTSA NATIONAL PARK: CAMERA TRAP DATA AND PRELIMINARY BEHAVIORAL OBSERVATIONS,LaFleur Marni; Sauther Michelle; Cuozzo Frank; Yamashita Nayuta; Youssouf Ibrahim Antho Jacky; Bender Richard,8,behaviour,,,,,,lemurs,mammals,,,primate,,,ct,Madagascar,Africa,PRIMATES,APR 2014,2014,55,2,,
